book_id,category_code,category_name,title,author,status
D100-007,D100,ปรัชญา และจิตวิทยา,ปรัชญาการเมืองเบื้องต้น,ธีรพงษ์ ยุติธรรม,ว่าง
D100-008,D100,ปรัชญา และจิตวิทยา,จิตวิทยาสังคม,นันทวัน รักสงบ,ว่าง
D100-009,D100,ปรัชญา และจิตวิทยา,อภิปรัชญาและญาณวิทยา,ชาญชัย ปราชญ์เปรื่อง,ว่าง
D100-010,D100,ปรัชญา และจิตวิทยา,จิตวิทยาการเรียนรู้,ศศิธร ใฝ่ดี,ว่าง
D100-011,D100,ปรัชญา และจิตวิทยา,ปรัชญาชีวิตและความสุข,บุญเลิศ พอเพียง,ว่าง
D100-012,D100,ปรัชญา และจิตวิทยา,จิตวิทยาองค์กร,วิภาวี มั่นคง,ว่าง
D100-013,D100,ปรัชญา และจิตวิทยา,ปรัชญาตะวันตกสมัยใหม่,เกรียงศักดิ์ รู้แจ้ง,ว่าง
D100-014,D100,ปรัชญา และจิตวิทยา,จิตวิเคราะห์เบื้องต้น,อําไพ เข้าใจคน,ว่าง
D100-015,D100,ปรัชญา และจิตวิทยา,การคิดอย่างเป็นระบบ,ประภาส เหตุผลดี,ว่าง
D200-001,D200,ศาสนา,พุทธประวัติฉบับย่อ,พระมหาสมชาย ปัญญาวุฒิ,ว่าง
D200-002,D200,ศาสนา,หลักธรรมในชีวิตประจำวัน,สมศรี ศรัทธาธรรม,ว่าง
D200-003,D200,ศาสนา,ศาสนาเปรียบเทียบ,วิทยา หลากศาสนา,ว่าง
D200-004,D200,ศาสนา,ประวัติศาสตร์ศาสนาคริสต์,โยเซฟ แสงสว่าง,ว่าง
D200-005,D200,ศาสนา,อิสลามศึกษาเบื้องต้น,อับดุล เราะห์มาน,ว่าง
D200-006,D200,ศาสนา,ปรัชญาพุทธศาสนา,พระครูวินัย ธรรมโชติ,ว่าง
D200-007,D200,ศาสนา,ศาสนาพราหมณ์-ฮินดู,สุเทพ เทวะโยธิน,ว่าง
D200-008,D200,ศาสนา,จริยธรรมและศีลธรรม,มาลี คุณธรรม,ว่าง
D200-009,D200,ศาสนา,พิธีกรรมและประเพณีทางศาสนา,จรัส วัฒนธรรม,ว่าง
D200-010,D200,ศาสนา,การทำสมาธิเพื่อความสงบ,นิภา สงบจิต,ว่าง
D200-011,D200,ศาสนา,ศาสนากับสังคมไทย,ประเสริฐ ไทยศึกษา,ว่าง
D200-012,D200,ศาสนา,คัมภีร์และวรรณกรรมทางศาสนา,อรรถพล คัมภีร์ทอง,ว่าง
D200-013,D200,ศาสนา,เซนและปรัชญาญี่ปุ่น,ฮิโรชิ ยามาโมโตะ (แปล),ว่าง
D200-014,D200,ศาสนา,ศาสนาซิกข์เบื้องต้น,กุลวินท์ สิงห์คีรี,ว่าง
D200-015,D200,ศาสนา,จริยศาสตร์ทางศาสนา,บัณฑิต ธรรมรักษ์,ว่าง
D300-001,D300,สังคมศาสตร์,สังคมวิทยาเบื้องต้น,ดวงใจ สังคมดี,ว่าง
D300-002,D300,สังคมศาสตร์,รัฐศาสตร์เบื้องต้น,ไพโรจน์ การเมืองดี,ว่าง
D300-003,D300,สังคมศาสตร์,เศรษฐศาสตร์เพื่อชีวิตประจำวัน,สุพจน์ เงินทอง,ว่าง
D300-004,D300,สังคมศาสตร์,กฎหมายเบื้องต้นสำหรับประชาชน,วิชาญ ยุติธรรมกิจ,ว่าง
D300-005,D300,สังคมศาสตร์,มานุษยวิทยาเบื้องต้น,อรทัย ชนเผ่าไทย,ว่าง
D300-006,D300,สังคมศาสตร์,การศึกษาและการพัฒนาสังคม,พรทิพย์ ก้าวหน้า,ว่าง
D300-007,D300,สังคมศาสตร์,สื่อสารมวลชนในยุคดิจิทัล,ณรงค์ สื่อสารดี,ว่าง
D300-008,D300,สังคมศาสตร์,ประชากรศาสตร์เบื้องต้น,สมหญิง จำนวนคน,ว่าง
D300-009,D300,สังคมศาสตร์,การปกครองท้องถิ่นไทย,บรรจง เทศบาลดี,ว่าง
D300-010,D300,สังคมศาสตร์,สิทธิมนุษยชนเบื้องต้น,อัญชลี สิทธิเสรี,ว่าง
D300-011,D300,สังคมศาสตร์,เพศสภาพและสังคม,ปาริชาติ เสมอภาค,ว่าง
D300-012,D300,สังคมศาสตร์,อาชญาวิทยาเบื้องต้น,วิศิษฐ์ คดีความ,ว่าง
D300-013,D300,สังคมศาสตร์,การพัฒนาชุมชน,ลัดดา ชุมชนเข้มแข็ง,ว่าง
D300-014,D300,สังคมศาสตร์,เศรษฐกิจพอเพียง,สุรชัย พอดี,ว่าง
D300-015,D300,สังคมศาสตร์,ความสัมพันธ์ระหว่างประเทศ,ธนวัฒน์ การทูตไทย,ว่าง
D400-001,D400,ภาษาศาสตร์,ภาษาศาสตร์เบื้องต้น,รุ่งนภา ภาษาไทย,ว่าง
D400-002,D400,ภาษาศาสตร์,ไวยากรณ์ภาษาอังกฤษเพื่อการสื่อสาร,จอห์น วิลสัน (แปลโดย มานพ),ว่าง
D400-003,D400,ภาษาศาสตร์,ภาษาไทยเพื่อการสื่อสาร,สายสุนีย์ อักษรไทย,ว่าง
D400-004,D400,ภาษาศาสตร์,การแปลภาษาเบื้องต้น,พิชญา สองภาษา,ว่าง
D400-005,D400,ภาษาศาสตร์,ภาษาศาสตร์สังคม,อรวรรณ ถิ่นภาษา,ว่าง
D400-006,D400,ภาษาศาสตร์,สัทศาสตร์และสัทวิทยา,ชูเกียรติ เสียงพูด,ว่าง
D400-007,D400,ภาษาศาสตร์,ภาษาจีนเพื่อการสื่อสาร,หลี่ เหมย (แปล),ว่าง
D400-008,D400,ภาษาศาสตร์,ภาษาญี่ปุ่นเบื้องต้น,ทานากะ ยูกิ (แปล),ว่าง
D400-009,D400,ภาษาศาสตร์,ประวัติศาสตร์ภาษาไทย,บุญส่ง อักขระโบราณ,ว่าง
D400-010,D400,ภาษาศาสตร์,ภาษาศาสตร์เชิงคอมพิวเตอร์,ณัฐวุฒิ ประมวลภาษา,ว่าง
D400-011,D400,ภาษาศาสตร์,การเขียนเชิงวิชาการ,พรพิมล เรียบเรียงดี,ว่าง
D400-012,D400,ภาษาศาสตร์,ภาษาเกาหลีสำหรับผู้เริ่มต้น,คิม จีซู (แปล),ว่าง
D400-013,D400,ภาษาศาสตร์,วัจนลีลาศาสตร์,สมบูรณ์ สำนวนไทย,ว่าง
D400-014,D400,ภาษาศาสตร์,ภาษาฝรั่งเศสเบื้องต้น,ปิแอร์ ดูปองต์ (แปล),ว่าง
D400-015,D400,ภาษาศาสตร์,พจนานุกรมศัพท์ทางวิชาการ,กองบรรณาธิการภาษาศาสตร์,ว่าง
D500-001,D500,วิทยาศาสตร์,ฟิสิกส์เบื้องต้น,สมเกียรติ แรงโน้มถ่วง,ว่าง
D500-002,D500,วิทยาศาสตร์,เคมีทั่วไป,วิภา สารประกอบ,ว่าง
D500-003,D500,วิทยาศาสตร์,ชีววิทยาเบื้องต้น,ประพันธ์ สิ่งมีชีวิต,ว่าง
D500-004,D500,วิทยาศาสตร์,ดาราศาสตร์และจักรวาล,นภดล ดวงดาว,ว่าง
D500-005,D500,วิทยาศาสตร์,คณิตศาสตร์พื้นฐาน,สุขสันต์ เลขคณิต,ว่าง
D500-006,D500,วิทยาศาสตร์,ธรณีวิทยาเบื้องต้น,ธราธร หินแร่,ว่าง
D500-007,D500,วิทยาศาสตร์,นิเวศวิทยาและสิ่งแวดล้อม,เขียวขจี ธรรมชาติงาม,ว่าง
D500-008,D500,วิทยาศาสตร์,พันธุศาสตร์เบื้องต้น,ดีเอ็นเอ สายพันธุ์ดี,ว่าง
D500-009,D500,วิทยาศาสตร์,สถิติเพื่อการวิจัย,จิรายุ ตัวเลขแม่น,ว่าง
D500-010,D500,วิทยาศาสตร์,วิทยาศาสตร์โลกและอวกาศ,อวกาศ ไกลโพ้น,ว่าง
D500-011,D500,วิทยาศาสตร์,เคมีอินทรีย์เบื้องต้น,คาร์บอน โมเลกุล,ว่าง
D500-012,D500,วิทยาศาสตร์,ฟิสิกส์ควอนตัมเบื้องต้น,ควอนตัม อนุภาคเล็ก,ว่าง
D500-013,D500,วิทยาศาสตร์,สัตววิทยาเบื้องต้น,สัตวา ป่าใหญ่,ว่าง
D500-014,D500,วิทยาศาสตร์,พฤกษศาสตร์เบื้องต้น,พฤกษา ใบเขียว,ว่าง
D500-015,D500,วิทยาศาสตร์,วิทยาศาสตร์สิ่งแวดล้อม,สิ่งแวด ล้อมดี,ว่าง
D600-001,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,วิศวกรรมเครื่องกลเบื้องต้น,ช่างกล แม่นยำ,ว่าง
D600-002,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,การแพทย์เบื้องต้นสำหรับประชาชน,หมอดี รักษาคน,ว่าง
D600-003,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,เกษตรกรรมยุคใหม่,ไร่นา อุดมสมบูรณ์,ว่าง
D600-004,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,วิศวกรรมไฟฟ้าเบื้องต้น,ไฟฟ้า แสงสว่าง,ว่าง
D600-005,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,โภชนาการและการทำอาหาร,เชฟใหญ่ อร่อยดี,ว่าง
D600-006,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,วิศวกรรมโยธาเบื้องต้น,โครงสร้าง มั่นคงแรง,ว่าง
D600-007,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,เทคโนโลยีการเกษตรสมัยใหม่,สมาร์ทฟาร์ม ก้าวไกล,ว่าง
D600-008,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,สัตวแพทยศาสตร์เบื้องต้น,รักษาสัตว์ ใจดี,ว่าง
D600-009,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,อุตสาหกรรมการผลิตเบื้องต้น,โรงงาน ผลิตภัณฑ์ดี,ว่าง
D600-010,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,เทคโนโลยียานยนต์,เครื่องยนต์ แรงม้าสูง,ว่าง
D600-011,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,การจัดการทรัพยากรน้ำ,สายน้ำ ใสสะอาด,ว่าง
D600-012,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,เภสัชศาสตร์เบื้องต้น,ยาดี รักษาโรค,ว่าง
D600-013,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,เทคโนโลยีพลังงานทดแทน,พลังงาน สะอาดใหม่,ว่าง
D600-014,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,วิศวกรรมคอมพิวเตอร์เบื้องต้น,วงจร อิเล็กทรอนิกส์,ว่าง
D600-015,D600,เทคโนโลยี และวิทยาศาสตร์ประยุกต์,การจัดการสิ่งแวดล้อมอุตสาหกรรม,รักษ์โลก อุตสาหกรรมสะอาด,ว่าง
D700-001,D700,ศิลปะ และการบันเทิง,ประวัติศาสตร์ศิลปะโลก,จิตรกร วาดฝัน,ว่าง
D700-002,D700,ศิลปะ และการบันเทิง,ดนตรีไทยเบื้องต้น,ระนาด เสียงเพราะ,ว่าง
D700-003,D700,ศิลปะ และการบันเทิง,การถ่ายภาพเบื้องต้น,เลนส์ ชัดใส,ว่าง
D700-004,D700,ศิลปะ และการบันเทิง,ศิลปะการแสดงไทย,รำไทย งดงาม,ว่าง
D700-005,D700,ศิลปะ และการบันเทิง,ภาพยนตร์และการกำกับ,ผู้กำกับ เรื่องราวดี,ว่าง
D700-006,D700,ศิลปะ และการบันเทิง,ดนตรีสากลเบื้องต้น,เปียโน คีย์ทอง,ว่าง
D700-007,D700,ศิลปะ และการบันเทิง,การออกแบบกราฟิก,ดีไซน์ สร้างสรรค์,ว่าง
D700-008,D700,ศิลปะ และการบันเทิง,ศิลปะการวาดภาพสีน้ำ,พู่กัน สีสวย,ว่าง
D700-009,D700,ศิลปะ และการบันเทิง,นาฏศิลป์ไทยร่วมสมัย,นักรำ ท่าสวย,ว่าง
D700-010,D700,ศิลปะ และการบันเทิง,กีฬาและนันทนาการ,นักกีฬา แข็งแรงดี,ว่าง
D700-011,D700,ศิลปะ และการบันเทิง,การแต่งเพลงเบื้องต้น,นักแต่งเพลง ทำนองไพเราะ,ว่าง
D700-012,D700,ศิลปะ และการบันเทิง,ศิลปะการปั้นและประติมากรรม,ช่างปั้น รูปทรงงาม,ว่าง
D700-013,D700,ศิลปะ และการบันเทิง,การ์ตูนและแอนิเมชัน,นักวาด การ์ตูนสนุก,ว่าง
D700-014,D700,ศิลปะ และการบันเทิง,ละครเวทีเบื้องต้น,นักแสดง เวทีชีวิต,ว่าง
D700-015,D700,ศิลปะ และการบันเทิง,สถาปัตยกรรมไทย,ช่างเขียน อาคารงาม,ว่าง
D800-001,D800,วรรณคดี และวรรณกรรม,วรรณคดีไทยเบื้องต้น,สุนทร กวีเอก,ว่าง
D800-002,D800,วรรณคดี และวรรณกรรม,การเขียนเรื่องสั้น,นักเขียน เรื่องสั้นดี,ว่าง
D800-003,D800,วรรณคดี และวรรณกรรม,วรรณกรรมเยาวชน,เด็กดี รักการอ่าน,ว่าง
D800-004,D800,วรรณคดี และวรรณกรรม,บทกวีร่วมสมัย,กวีใหม่ ถ้อยคำงาม,ว่าง
D800-005,D800,วรรณคดี และวรรณกรรม,นวนิยายไทยคลาสสิก,นักประพันธ์ เรื่องยาวดี,ว่าง
D800-006,D800,วรรณคดี และวรรณกรรม,วรรณคดีโลกเบื้องต้น,นักวิจารณ์ วรรณกรรมสากล,ว่าง
D800-007,D800,วรรณคดี และวรรณกรรม,การวิจารณ์วรรณกรรม,ผู้วิจารณ์ มุมมองลึกซึ้ง,ว่าง
D800-008,D800,วรรณคดี และวรรณกรรม,นิทานพื้นบ้านไทย,ปู่ย่า เล่าขาน,ว่าง
D800-009,D800,วรรณคดี และวรรณกรรม,บทละครและวรรณกรรมการแสดง,นักเขียนบท เรื่องราวเข้มข้น,ว่าง
D800-010,D800,วรรณคดี และวรรณกรรม,วรรณกรรมแปล,นักแปล ถ่ายทอดดี,ว่าง
D800-011,D800,วรรณคดี และวรรณกรรม,เรื่องสั้นแนวสืบสวน,นักสืบ คดีปริศนา,ว่าง
D800-012,D800,วรรณคดี และวรรณกรรม,กวีนิพนธ์คลาสสิก,กวีเก่า ฉันทลักษณ์งาม,ว่าง
D800-013,D800,วรรณคดี และวรรณกรรม,วรรณกรรมเพื่อชีวิต,นักคิด สังคมสะท้อน,ว่าง
D800-014,D800,วรรณคดี และวรรณกรรม,การเขียนบทความสร้างสรรค์,นักเขียนอิสระ ความคิดใหม่,ว่าง
D800-015,D800,วรรณคดี และวรรณกรรม,ประวัติวรรณคดีไทย,ครูภาษาไทย รากเหง้าวรรณศิลป์,ว่าง
D900-001,D900,ประวัติศาสตร์ และภูมิศาสตร์,ประวัติศาสตร์ไทยเบื้องต้น,นักประวัติศาสตร์ อดีตกาล,ว่าง
D900-002,D900,ประวัติศาสตร์ และภูมิศาสตร์,ภูมิศาสตร์โลกเบื้องต้น,นักภูมิศาสตร์ แผนที่โลก,ว่าง
D900-003,D900,ประวัติศาสตร์ และภูมิศาสตร์,ประวัติศาสตร์สงครามโลก,นักวิเคราะห์ สงครามยุทธ์,ว่าง
D900-004,D900,ประวัติศาสตร์ และภูมิศาสตร์,อารยธรรมโบราณ,นักโบราณคดี ซากอารยธรรม,ว่าง
D900-005,D900,ประวัติศาสตร์ และภูมิศาสตร์,ประวัติศาสตร์เอเชียตะวันออกเฉียงใต้,นักวิชาการ อาเซียนศึกษา,ว่าง
D900-006,D900,ประวัติศาสตร์ และภูมิศาสตร์,ภูมิศาสตร์ประเทศไทย,นักสำรวจ ผืนแผ่นดินไทย,ว่าง
D900-007,D900,ประวัติศาสตร์ และภูมิศาสตร์,ประวัติศาสตร์กรุงรัตนโกสินทร์,นักจดหมายเหตุ ราชวงศ์จักรี,ว่าง
D900-008,D900,ประวัติศาสตร์ และภูมิศาสตร์,แผนที่และการสำรวจโลก,นักเดินเรือ เส้นทางใหม่,ว่าง
D900-009,D900,ประวัติศาสตร์ และภูมิศาสตร์,ประวัติศาสตร์อารยธรรมจีน,นักจีนศึกษา มังกรทอง,ว่าง
D900-010,D900,ประวัติศาสตร์ และภูมิศาสตร์,ภูมิอากาศและสิ่งแวดล้อมโลก,นักอุตุนิยม สภาพอากาศ,ว่าง
D900-011,D900,ประวัติศาสตร์ และภูมิศาสตร์,ประวัติศาสตร์ยุโรปสมัยใหม่,นักยุโรปศึกษา ทวีปเก่า,ว่าง
D900-012,D900,ประวัติศาสตร์ และภูมิศาสตร์,ภูมิศาสตร์เศรษฐกิจ,นักเศรษฐศาสตร์ ทรัพยากรโลก,ว่าง
D900-013,D900,ประวัติศาสตร์ และภูมิศาสตร์,ประวัติศาสตร์การเมืองไทย,นักรัฐศาสตร์ การเปลี่ยนแปลง,ว่าง
D900-014,D900,ประวัติศาสตร์ และภูมิศาสตร์,อาณาจักรโบราณในดินแดนไทย,นักประวัติศาสตร์ สุโขทัยอยุธยา,ว่าง
D900-015,D900,ประวัติศาสตร์ และภูมิศาสตร์,ภูมิศาสตร์กายภาพ,นักธรณีวิทยา รูปลักษณ์โลก,ว่าง
